Player,Age,MP,Gls,Ast,xG,PrgC,PrgR
Phil Foden,23.0,35,19.0,8.0,10.3,93.0,269.0
Erling Haaland,23.0,31,27.0,5.0,29.2,35.0,126.0
Jeremy Doku,21.0,29,3.0,8.0,2.5,218.0,295.0
Jack Grealish,27.0,20,3.0,1.0,2.1,87.0,146.0
Oscar Bobb,20.0,14,1.0,1.0,1.4,13.0,38.0
Sergio Gómez,22.0,6,0.0,1.0,0.2,4.0,4.0
Luis Díaz,26.0,37,8.0,5.0,11.9,137.0,302.0
Mohamed Salah,31.0,32,18.0,10.0,21.2,98.0,341.0
Darwin Núñez,24.0,36,11.0,8.0,16.3,58.0,206.0
Cody Gakpo,24.0,35,8.0,5.0,9.0,43.0,130.0
Diogo Jota,26.0,21,10.0,3.0,5.3,54.0,111.0
Ben Doak,17.0,1,0.0,0.0,0.0,0.0,0.0
Jayden Danns,17.0,2,0.0,0.0,0.0,0.0,2.0
Kaide Gordon,18.0,1,0.0,0.0,0.0,0.0,0.0
Bukayo Saka,21.0,35,16.0,9.0,15.5,155.0,508.0
Gabriel Martinelli,22.0,35,6.0,4.0,6.8,127.0,345.0
Leandro Trossard,28.0,34,12.0,1.0,7.9,66.0,155.0
Gabriel Jesus,26.0,27,4.0,5.0,6.3,38.0,155.0
Eddie Nketiah,24.0,27,5.0,2.0,4.5,22.0,77.0
Reiss Nelson,23.0,15,0.0,0.0,0.2,9.0,26.0
Ethan Nwaneri,16.0,1,0.0,0.0,0.0,2.0,1.0
Nicolas Jackson,22.0,35,14.0,5.0,18.6,70.0,200.0
Cole Palmer,21.0,33,22.0,11.0,18.2,117.0,195.0
Raheem Sterling,28.0,31,8.0,4.0,6.5,120.0,242.0
Mykhailo Mudryk,22.0,31,5.0,2.0,4.4,92.0,139.0
Noni Madueke,21.0,23,5.0,2.0,2.5,76.0,136.0
Armando Broja,21.0,13,1.0,0.0,2.4,11.0,37.0
Christopher Nkunku,25.0,11,3.0,0.0,2.3,10.0,35.0
Ian Maatsen,21.0,12,0.0,0.0,0.8,9.0,15.0
Cesare Casadei,20.0,11,0.0,0.0,0.0,1.0,3.0
Mason Burstow,19.0,2,0.0,0.0,0.0,0.0,1.0
Jimi Tauriainen,19.0,1,0.0,0.0,0.0,0.0,0.0
Anthony Gordon,22.0,35,11.0,10.0,10.2,138.0,232.0
Alexander Isak,23.0,30,21.0,2.0,20.3,68.0,129.0
Miguel Almirón,29.0,33,3.0,1.0,4.5,78.0,162.0
Callum Wilson,31.0,20,9.0,1.0,8.8,11.0,77.0
Harvey Barnes,25.0,21,5.0,3.0,3.6,45.0,79.0
Matt Ritchie,33.0,13,1.0,0.0,1.0,5.0,13.0
Ben Parkinson,18.0,1,0.0,0.0,0.0,0.0,0.0
Michael Ndiweni,19.0,1,0.0,0.0,0.0,0.0,0.0
Son Heung-min,31.0,35,17.0,10.0,12.0,119.0,325.0
Dejan Kulusevski,23.0,36,8.0,3.0,4.7,151.0,388.0
Brennan Johnson,22.0,32,5.0,10.0,10.3,97.0,293.0
Richarlison,26.0,28,11.0,4.0,9.6,26.0,106.0
Timo Werner,27.0,13,2.0,3.0,3.7,79.0,124.0
Bryan Gil,22.0,11,0.0,0.0,0.8,11.0,49.0
Manor Solomon,24.0,5,0.0,2.0,0.4,17.0,44.0
Ivan Perišić,34.0,5,0.0,1.0,0.1,15.0,17.0
Alejo Véliz,19.0,8,1.0,0.0,0.2,0.0,3.0
Dane Scarlett,19.0,4,0.0,0.0,0.0,0.0,4.0
Jamie Donley,18.0,3,0.0,0.0,0.0,0.0,0.0
Alejandro Garnacho,19.0,36,7.0,4.0,8.4,178.0,281.0
Marcus Rashford,25.0,33,7.0,2.0,7.4,95.0,184.0
Rasmus Højlund,20.0,30,10.0,2.0,7.6,36.0,111.0
Antony,23.0,29,1.0,1.0,3.4,53.0,149.0
Anthony Martial,27.0,13,1.0,0.0,1.2,6.0,36.0
Amad Diallo,21.0,9,1.0,1.0,0.5,11.0,31.0
Facundo Pellistri,21.0,9,0.0,1.0,0.7,6.0,31.0
Omari Forson,19.0,4,0.0,1.0,0.0,1.0,2.0
Jadon Sancho,23.0,3,0.0,0.0,0.0,10.0,5.0
Ethan Wheatley,17.0,3,0.0,0.0,0.0,0.0,1.0
Ollie Watkins,27.0,37,19.0,13.0,16.8,62.0,214.0
Moussa Diaby,24.0,38,6.0,8.0,7.0,94.0,183.0
Nicolò Zaniolo,24.0,25,2.0,0.0,2.6,35.0,60.0
Jacob Ramsey,22.0,16,1.0,1.0,2.2,33.0,69.0
Jhon Durán,19.0,23,5.0,0.0,2.0,9.0,25.0
Omari Kellyman,17.0,2,0.0,0.0,0.1,1.0,0.0
Jaden Philogene Bidace,21.0,1,0.0,0.0,0.0,2.0,1.0
Jarrod Bowen,26.0,34,16.0,6.0,11.6,90.0,186.0
Lucas Paquetá,25.0,31,4.0,6.0,5.4,34.0,116.0
Mohammed Kudus,22.0,33,8.0,6.0,5.1,117.0,216.0
Michail Antonio,33.0,26,6.0,2.0,5.8,48.0,104.0
Saïd Benrahma,27.0,13,0.0,1.0,1.8,28.0,70.0
Danny Ings,31.0,20,1.0,0.0,1.3,7.0,29.0
Divin Mubama,18.0,5,0.0,0.0,0.1,0.0,5.0
George Earthy,18.0,3,1.0,0.0,0.3,0.0,3.0
Jordan Ayew,31.0,35,4.0,7.0,3.9,74.0,173.0
Jean-Philippe Mateta,26.0,35,16.0,5.0,10.9,29.0,135.0
Odsonne Édouard,25.0,30,7.0,0.0,6.2,33.0,100.0
Jeffrey Schlupp,30.0,29,2.0,2.0,1.8,20.0,52.0
Michael Olise,21.0,19,10.0,6.0,5.5,68.0,134.0
Alex Iwobi,27.0,30,5.0,2.0,5.3,109.0,175.0
Willian,34.0,31,4.0,2.0,5.1,92.0,181.0
Rodrigo Muniz,22.0,26,9.0,1.0,8.7,8.0,76.0
Raúl Jiménez,32.0,24,7.0,0.0,5.2,11.0,87.0
Bobby Reid,30.0,33,6.0,2.0,4.6,35.0,95.0
Harry Wilson,26.0,35,4.0,6.0,3.4,41.0,130.0
Carlos Vinícius,28.0,13,2.0,0.0,1.6,3.0,13.0
Adama Traoré,27.0,17,2.0,3.0,1.5,29.0,48.0
Armando Broja,21.0,8,0.0,1.0,0.0,2.0,7.0
Aleksandar Mitrović,28.0,1,0.0,0.0,0.2,0.0,0.0
Abdoulaye Doucouré,30.0,32,7.0,1.0,8.8,55.0,140.0
Dominic Calvert-Lewin,26.0,32,7.0,2.0,12.9,36.0,122.0
Beto,25.0,30,3.0,0.0,6.8,14.0,58.0
Youssef Chermiti,19.0,18,0.0,0.0,0.7,5.0,15.0
Neal Maupay,26.0,2,0.0,0.0,1.4,1.0,6.0
Thomas Cannon,20.0,1,0.0,0.0,0.0,0.0,0.0
Lewis Warrington,20.0,1,0.0,0.0,0.0,0.0,0.0
Simon Adingra,21.0,31,6.0,1.0,4.3,111.0,278.0
Danny Welbeck,32.0,29,5.0,1.0,5.3,32.0,100.0
João Pedro,21.0,31,9.0,3.0,11.9,83.0,205.0
Facundo Buonanotte,18.0,27,3.0,1.0,2.4,23.0,69.0
Kaoru Mitoma,26.0,19,3.0,4.0,3.5,121.0,239.0
Evan Ferguson,18.0,27,6.0,0.0,4.6,13.0,62.0
Mark O'Mahony,18.0,3,0.0,0.0,0.1,0.0,0.0
Dominic Solanke,25.0,38,19.0,3.0,19.6,52.0,184.0
Marcus Tavernier,24.0,30,3.0,4.0,3.9,79.0,171.0
Antoine Semenyo,23.0,33,8.0,2.0,4.6,89.0,188.0
Luis Sinisterra,24.0,20,2.0,2.0,2.5,51.0,85.0
Enes Ünal,26.0,16,2.0,2.0,2.9,4.0,28.0
David Brooks,26.0,13,1.0,1.0,2.2,8.0,27.0
Jaidon Anthony,23.0,3,0.0,0.0,0.1,2.0,9.0
Kieffer Moore,30.0,8,1.0,0.0,1.5,2.0,15.0
Dominic Sadi,19.0,1,0.0,0.0,0.0,0.0,0.0
Matheus Cunha,24.0,32,12.0,7.0,9.5,107.0,139.0
Hwang Hee-chan,27.0,29,12.0,3.0,7.7,37.0,120.0
Pedro Neto,23.0,20,2.0,9.0,3.5,98.0,149.0
Fábio Silva,21.0,8,0.0,0.0,1.0,5.0,13.0
Leon Chiwome,17.0,3,0.0,0.0,0.1,1.0,7.0
Nathan Fraser,18.0,7,0.0,0.0,0.3,1.0,21.0
Sasa Kalajdzic,26.0,11,2.0,0.0,1.1,1.0,9.0
Yoane Wissa,26.0,34,12.0,3.0,10.6,45.0,150.0
Bryan Mbeumo,23.0,25,9.0,6.0,9.8,74.0,195.0
Ivan Toney,27.0,17,4.0,2.0,6.0,23.0,98.0
Neal Maupay,26.0,29,6.0,3.0,5.7,21.0,91.0
Kevin Schade,21.0,11,2.0,1.0,1.2,8.0,23.0
Anthony Elanga,21.0,36,5.0,9.0,6.6,98.0,196.0
Callum Hudson-Odoi,22.0,29,8.0,1.0,2.7,111.0,171.0
Chris Wood,31.0,31,14.0,1.0,11.9,16.0,76.0
Taiwo Awoniyi,25.0,20,6.0,3.0,4.7,8.0,45.0
Divock Origi,28.0,20,0.0,1.0,1.4,19.0,41.0
Brennan Johnson,22.0,3,0.0,0.0,0.3,8.0,14.0
Gio Reyna,20.0,9,0.0,1.0,0.3,3.0,14.0
Brandon Aguilera,20.0,1,0.0,0.0,0.0,0.0,1.0
Carlton Morris,27.0,38,11.0,4.0,11.4,37.0,120.0
Elijah Adebayo,25.0,27,10.0,0.0,5.9,16.0,110.0
Cauley Woodrow,28.0,24,1.0,1.0,1.4,7.0,22.0
Zeki Amdouni,22.0,34,5.0,1.0,5.8,63.0,93.0
Lyle Foster,22.0,24,5.0,3.0,4.5,55.0,104.0
David Datro Fofana,20.0,15,4.0,1.0,4.5,21.0,39.0
Jay Rodriguez,34.0,21,2.0,1.0,3.5,2.0,28.0
Mike Trésor,24.0,16,0.0,0.0,0.5,15.0,31.0
Anass Zaroury,22.0,6,0.0,0.0,0.2,2.0,12.0
Nathan Redmond,29.0,12,0.0,0.0,0.0,7.0,22.0
Michael Obafemi,23.0,2,0.0,0.0,0.1,0.0,3.0
Cameron Archer,22.0,29,4.0,1.0,5.5,33.0,113.0
Oliver McBurnie,27.0,21,6.0,3.0,6.9,6.0,60.0
Ben Brereton,24.0,14,6.0,1.0,6.1,23.0,78.0
William Osula,19.0,21,0.0,0.0,1.6,7.0,41.0
Bénie Adama Traore,20.0,8,0.0,0.0,0.3,7.0,14.0
Rhian Brewster,23.0,13,0.0,0.0,0.4,1.0,21.0
Daniel Jebbison,19.0,1,0.0,0.0,0.0,0.0,1.0
Antwoine Hackford,19.0,2,0.0,0.0,0.0,0.0,0.0
Ryan One,17.0,1,0.0,0.0,0.0,1.0,0.0
